Song,Line Number,Lyric
Scatman,1,Ska-badabadabadoo-belidabbelydabbladabbladabblabab-belibabbelibabbelibabbelabbelo-doobelidoo
Scatman,2,I'm the Scatman
Scatman,3,And the chorus goes like this
Scatman,4,"Ski-bi-dibby-dib yo-da-dub-dub, yo-da-dub-dub"
Scatman,5,"Ski-bi-dibby-dib yo-da-dub-dub, yo-da-dub-dub"
Scatman,6,I'm the Scatman
Scatman,7,"Ski-bi-dibby-dib yo-da-dub-dub, yo-da-dub-dub"
Scatman,8,Ba-da-ba-da-ba-be bop-bop-bodda-bope
Scatman,9,Bop-ba-bodda-bope
Scatman,10,"Be-bop-ba-bodda-bope, bop-ba-bodda"
Scatman,11,Ba-da-ba-da-ba-be bop-ba-bodda-bope
Scatman,12,Bop-ba-bodda-bope
Scatman,13,"Be-bop-ba-bodda-bope, bop-ba-bodda-bope"
Scatman,14,Ska-badabadabadoo-belidabbelydabbladabbladabblabab-belibabbelibabbelibabbelabbelo-doobelidoo
Scatman,15,Everybody stutters one way or the other
Scatman,16,So check out my message to you
Scatman,17,"As a matter of fact, I don't let nothing hold you back"
Scatman,18,"If the Scatman can do it, so can you"
Scatman,19,Everybody's saying that the Scatman stutters But doesn't ever stutter when he sings
Scatman,20,"But what you don't know, I'm gonna tell you right now"
Scatman,21,"That the stutter and the scat is the same thing, yo"
Scatman,22,I'm the Scatman
Scatman,23,Where's the Scatman?
Scatman,24,I'm the Scatman
Scatman,25,Why should we be pleasing in the politician heathens
Scatman,26,Who would try to change the seasons if they could?
Scatman,27,The state of the condition insults my intuitions
Scatman,28,And it only makes me crazy and a heart like wood
Scatman,29,Everybody stutters one way or the other
Scatman,30,So check out my message to you
Scatman,31,"As a matter of fact, I'm letting nothing hold you back"
Scatman,32,"If the Scatman can do it, brother, so can you"
Scatman,33,I'm the Scatman
Scatman,34,I hear y'all ask 'bout the meaning of scat
Scatman,35,"Well, I'm the professor and all I can tell you is"
Scatman,36,"While you're still sleeping, the saints are still weeping 'cause"
Scatman,37,Things you called dead haven't yet had the chance to be born
Scatman,38,I'm the Scatman
Scatman,39,"Yeah, I'm the Scatman"
Scatman,40,"Dong dong dong, ding ding dong dong"
Scatman,41,Wo-go-ez-ze-ze-za-de-ya-de-za-de-ya-ze-ze-zee
Scatman,42,"Dong-ding-dong-dong-dong, do-dong-ding"
Scatman,43,Where's the Scatman?
Scatman,44,Ska-badabadabadoo-belidabbelydabbladabbladabblabab-belibabbelibabbelibabbelabbelo-doobelidoo
Scatman,45,"I'm the Scatman, repeat after me"
Scatman,46,"It's a scoobie-oobie-doobie, scoobie-doobie melody"
Scatman,47,"I'm the Scatman, sing along with me"
Scatman,48,"It's a scoobie-oobie-doobie, scoobie-doobie melody"
Scatman,49,"Yeah, I'm the Scatman (I'm the Scatman)"
Scatman,50,"Yeah, I'm the Scatman, sing along with me"
Scatman,51,Bop-ba-bodda
Scatman,52,"It's a scoobie-oobie-doobie, scoobie-doobie melody"
Scatman,53,Be-bop-ba-bodda-bope
Scatman's World,1,"Sting dubbadohng, da ding, dadohn dodohn"
Scatman's World,2,"Da ding, da ding, da dodone, jadugadodone"
Scatman's World,3,Scatman's World
Scatman's World,4,Babobeh-bopbopahdop-bababa-ba-babedi
